song_artist,song_name
nina simone,the more i see you
lukas nelson and promise of the real,want me around
bonnie raitt,have a heart
nina simone,consummation
beach fossils,adversity
mercyme,all of creation
nina simone,strange fruit
george jones,no money in this deal
we are scientists,after hours
black mountain,old fangs
jonas brothers,strangers
avril lavigne,my happy ending
harry belafonte,a hole in the bucket
yaz,i before e except after c
angelo debarre,noto swing
roxy music,sentimental fool
john mayer,changing
jimi hendrix,we gotta live together
waylon jennings,walkin'
guns n' roses,right next door to hell
merle haggard,you don't have far to go
montrose,paper money
tammy wynette,"run, angel, run"
joan armatrading,warm love
traffic,shoot out at the fantasy factory
black rebel motorcycle club,returning
george harrison,run of the mill
country joe & the fish,maria
young money,trophies
beastie boys,posse in effect
electric light orchestra,mama
too rude,do you feel what i dub?
glenn miller,(there'll be blue birds over) the white cliffs of dover
gerry & the pacemakers,you'll never walk alone
ray price,you don't love me (but i'll always care)
ernestine anderson,as long as i live
pablo cruise,givin' it back
big mama thornton,my man called me
dixie chicks,landslide
mark wills,what's not to love
death cab for cutie,kids in '99
alec benjamin,if i killed someone for you
robert earl keen,maria
chris ledoux,busted
waylon jennings,just to satisfy you
the killers,flesh and bone
deep purple,lazy
the weeknd,six feet under
rascal flatts,this everyday love
keith urban,you're not my god
lagwagon,may 16
josefus,crazy man
irma thomas,long after tonight is all over
the white stripes,why can't you be nicer to me?
tony bennett,(where do i begin) love story
the allman brothers band,maydell
ed sheeran,one
roger miller,i catch myself crying
the buggles,i love you (miss robot)
"crosby, stills & nash",you are alive
a perfect circle,the doomed
wayne wonder,slowly but surely
iration,all in you
breaking benjamin,crawl
juliana aquino,i will survive
abc,all of my heart
new order,1963
singers and players,sit and wonder
mr. bungle,pink cigarette
10cc,you've got a cold
scott grooves,mothership reconnection (feat.parliament/funkadelic)
temple of the dog,four walled world
megadeth,high speed dirt
the platters,time and tide
jane's addiction,sympathy
waylon jennings,her man
matisyahu,searchin
king crimson,book of saturday
toots & the maytals,gee wiz
the cars,coming up on you
santana,love of my life (feat. dave matthews & carter beauford)
conway twitty,call it what you want to (it's still love)
the fall,gut of the quantifier
justin bieber,somebody to love
duke ellington,part iii
lebrado,come back home
mr. lil one,karma
emmylou harris,gulf coast highway (with willie nelson)
rufus thomas,sixty minute man
steel pulse,don't give in
amazing rhythm aces,if you gotta make a fool of somebody
touré kunda,toure kunda
robin trower,fool
todd terry,do your thing
dean martin,rock-a-bye your baby with a dixie melody
casey donahew,crash
beth hart,mama this one's for you
alif tree,forgotten places
marlena shaw,i'm satisfied
colt ford,crank it up
elvis presley,first in line
ballyhoo!,marijuana laws
brian eno,here come the warm jets
kadhja bonet,delphine
george hamilton iv,you are my sunshine
dennis brown,too hot
lata mangeshkar,mera dil yeh pukare aaja
ray price,there's no fool like a young fool
shenseea,pon mi
ricky nelson,blood from a stone
ac/dc,shot down in flames
confederate railroad,simple man
carrie underwood,whenever you remember
jerry butler,moody woman
gramatik,smooth while raw
johnny cash,if not for love
waylon jennings,get naked with me
harry nilsson,the game
adam lambert,ghost town
the impressions,i can't stay away from you
38 special,take me through the night
die antwoord,ugly boy
marilyn manson,this is halloween
indio i,di mo lang alam
phish,waste
grace potter & the nocturnals,here's to the meantime
tim mcgraw,not a moment too soon
dmx,ruff ryders' anthem (re-recorded)
judee sill,the lamb ran away with the crown
free,fire and water
shinedown,lost in the crowd
david lee murphy,i could believe anything
the everly brothers,memories are made of this
gary moore,listen to your heartbeat
sam cooke,if i had you (i'd be happy)
stone temple pilots,lady picture show
gordon lightfoot,hangdog hotel room
swans,freak
tim mcgraw,let it go
kendrick lamar,humble.
harry belafonte,cordelia brown
linton kwesi johnson,it noh funny
don gibson,i love you so much it hurts
gryffin,whole heart
ini kamoze,call the police
bee gees,living eyes
the cheetah girls,the party's just begun
mötley crüe,five years dead
dean martin,sleep warm
edie brickell & new bohemians,she
the police,bring on the night
tim buckley,blue melody
erroll garner,lullaby of birdland
randy travis,softly and tenderly
lester flatt,wait for the sunshine
the byrds,all i really want to do
"earth, wind & fire",milky way
mighty diamonds,i need a roof
the oak ridge boys,dream on
ryan adams & the cardinals,down in a hole
pirates of the mississippi,honky tonk blues
bazzi,i.f.l.y.
poco,what am i gonna do
rise against,swing life away
jerry vale,pretend you don't see her
brian culbertson,together tonight
gang of four,armalite rifle
aminé,caroline
neil diamond,yesterday's songs
frankie laine,granada
steel pulse,handsworth revolution
metallica,am i evil?
keb' mo',old me better
groovie ghoulies,blood beach
rascal flatts,changed
little feat,join the band
the blackwater fever,can't help yourself
free,remember
travis tritt,modern day bonnie and clyde
kehlani,crzy
lady gaga,applause
the shirelles,the dance is over
dean martin,be honest with me
grant green,i wish you love
aretha franklin,sweet bitter love
carlos santana,now that you know
xtc,this is pop?
ray charles,deed i do
dottie west,paper mansions
bonobo,scuba
alex chilton,hook of crook
the animals,the right time
the delmonas,comin' home baby
bonnie raitt,true love is hard to find
michael franti & spearhead,gloria
humble pie,i can't stand the rain
alex chilton,like flies on sherbert
seals and crofts,i'll play for you
judas priest,devil's child
ween,help me scrape the mucus off my brain
fifth harmony,worth it
loretta lynn,send me the pillow you dream on
tim mcgraw,tears in the rain
x ambassadors,litost
philip sayce,sailin' shoes
neil diamond,red rubber ball
krs-one,ah yeah
brooks & dunn,i'll never forgive my heart
christopher cross,all right
alice cooper,i love the dead
metallica,better than you
gene clark,life's greatest fool
keith jarrett,chandra
charley patton,shake it and break it (but don't let it fall mama)
delbert mcclinton,shot from the saddle
rick price,heaven knows
vern gosdin,i wonder where we'd be tonight
frank zappa,bow tie daddy
miranda lambert,bathroom sink
the b-52's,party out of bounds
sepultura,dead embryonic cells
"earth, wind & fire",would you mind
lucky dube,the show goes on
brian mcknight,after the love
esbjörn svensson trio,from gagarin's point of view
jackson michelson,one at a time
deftones,sextape
band of skulls,death by diamonds and pearls
ryan adams,when the stars go blue
basia,run for cover
walt weiskopf,soul eyes
soja,jah atmosphere
upchurch,bad mutha fucka
daughtry,life after you
new edition,hide and seek
muse,unnatural selection
chris montez,chiquita mia
patra,hot stuff
candlebox,change
the skyliners,since i don't have you
bad company,fame and fortune
ohio players,contradiction
"royce da 5'9""",i'm fresh (feat. mr. porter)
david allan coe,ain't it funny the way love can do ya
two feet,quick musical doodles
necrophagist,foul body autopsy
randy rogers band,tequila eyes
dean martin,sailors' polka
bobby darin,all by myself
the five keys,she's the most
gary numan,music for chameleons
merle haggard,it's been a great afternoon
wookiefoot,get down
tommy bolin,savannah woman
tom petty,wildflowers
john mellencamp,crumblin' down
sonny boy williamson ii,all my love in vain
stéphane pompougnac,hello mademoiselle
collective soul,run
crash kings,mountain man
panic! at the disco,house of memories
ghantasala,choopula kalasina subhavela
aerosmith,lightning strikes
bone thugs-n-harmony,yall ain't know
adele,hiding my heart
beenie man,ole dawg
gary allan,i've got a quarter in my pocket
les paul,sleep
bob james,3 a.m.
hole,jennifer's body
billy joe royal,i'll pin a note on your pillow
dolly parton,you're the one that taught me how to swing
legado 7,el afro (en vivo)
badfish,badfish
si zentner,little jazz
jean shepard,second best
the black angels,telephone
journey,patiently
gene autry,joy to the world
lucinda williams,steal your love
rod stewart,(find a) reason to believe
santana,"deeper, dig deeper"
kofi,do you really want me
the cranberries,pretty
gregory porter,smile
linda ronstadt,still within the sound of my voice (feat. aaron neville)
queens of the stone age,fortress
louis armstrong,sweet lorraine
slave,thank you
like moths to flames,bury your pain
jamie cullum,get a hold of yourself
montgomery gentry,some people change
al green,what's it all about
hilary duff,so yesterday
freddy fender,before the next teardrop falls
bang,"lions, christians"
green day,stuart and the ave.
rudy vallee,as time goes by
wayne hancock,johnny law
panic! at the disco,we're so starving
chicago,introduction
charlie parker,my little suede shoes
dionne warwick,anyone who had a heart
a.k.r.a.,intro
johnny hartman,let me love you
mercyful fate,evil
willie nelson,remember the alamo
black country communion,song of yesterday
yungblud,kill somebody
gene vincent & his blue caps,ain't she sweet
egypt central,white rabbit
spyro gyra,philly
traveling wilburys,dirty world
the pioneers,time hard
travis tritt,when i touch you
maxi priest,crazy love
gorillaz,el mañana
pixies,ed is dead
jagged edge,promise
etana,people talk
lead belly,looky looky yonder / black betty / yellow women's door bells
white denim,good news
"harry connick, jr.",a blessing and a curse
krokus,playin' the outlaw
walk the moon,tightrope
savoy brown,let it rock (rock and roll on the radio)
the statler brothers,the movies
tom rush,these days
demun jones,feeling good
jason aldean,1994
thriller u,i can see clearly
suicidal tendencies,suicide's an alternative / you'll be sorry
george harrison,i'd have you anytime
joe cocker,hold on (i feel our love is changing)
elvis presley,blueberry hill
the fall,blindness
judy garland,it's a new world
we the kings,we'll be a dream (feat. demi lovato)
aretha franklin,every little bit hurts
yes,"starship trooper: a. life seeker, b. disillusion, c. würm"
deftones,romantic dreams
willie nelson,september song
the elgins,heaven must have sent you
tool,parabola
hank williams,you win again
patty loveless,i'll never grow tired of you
mission of burma,trem two
eagles of death metal,bad dream mama
the wood brothers,angel band
lizz wright,hit the ground
the mavericks,hey good lookin'
joe bonamassa,the ballad of john henry
gregory isaacs,bring me your cup
between the buried and me,lunar wilderness
steel pulse,role model
cynic,veil of maya
slightly stoopid,collie man
deca,donner bell
boogie down productions,the blueprint
pat green,songs about texas
the beach boys,wonderful
michael franti & spearhead,u can't sing r song
eric johnson,emerald eyes
helen reddy,you're my world
grandmaster melle mel,grndmza pt. 1
the desert rose band,i still believe in you
diamond rio,in a week or two
coolio,gangsta's paradise (re-recorded) [remastered]
collin raye,i volunteer
johnny cash,let me down easy
santana,give me love
rush,the big money
neil sedaka,you mean everything to me
grace jones,feel up
the marvelettes,you should know
the offspring,original prankster
upchurch,we don't
manowar,heart of steel
zz top,poke chop sandwich
elvis presley,young dreams
avril lavigne,take me away
necrophagist,ignominious & pale
the weeknd,same old song
the guess who,when you touch me
bob wills,maiden's prayer
"emerson, lake & palmer","karn evil 9 1st impression, pt. 1"
joni mitchell,my old man
the beach boys,"hold on, dear brother"
bob berg,all the way
love,no matter what you do
a flock of seagulls,"the more you live, the more you love"
foreigner,that was yesterday
trace adkins,til the last shot's fired
tower of power,i got the chop
b.b. king,i love you so
the lacs,just another thing (feat. crucifix)
dr. john,mos' scocious
del the funky homosapien,mistadobalina
a filial,vira lata
thee oh sees,gholü
the alan parsons project,silence and i
enjoy,i've wasted so much time
fuel,shimmer
bush,machinehead
johnny cash,these things shall pass
the jam,'a' bomb in wardour street
ben folds,rockin' the suburbs
europe,cherokee
u2,zoo station
dove cameron,rotten to the core
rorystonelove,suit & tie
green day,oh love
hiatus kaiyote,sphynx gate / the world it softly lulls
wilco,outtasite (outta mind)
glen campbell,catch the wind
freddy fender,roses are red
waylon jennings,heaven or hell
bob dylan,gospel plow
george jones,will the circle be unbroken
switchfoot,i won't let you go
jah cure,sunny day
lee hazlewood,forget marie
dan fogelberg,aspen/these days
danielle nicole,cry no more
the heavy,just my luck
sven-bertil taube,viljen i veta (would you like to know?)
nazareth,rags to riches
the marvelettes,he was really sayin' somethin'
nightmares on wax,pudpots
mikey spice,losing me
staylefish,in too deep
johnny mathis,"hold me, thrill me, kiss me"
talking heads,a clean break (let's work)
slayer,at dawn they sleep
charlie parker,autumn in new york
dolly parton,i believe in santa claus
hank williams iii,walkin' with sorrow
george jones,multiply the heartaches
ultravox,dancing with tears in my eyes
tribal seeds,youth rebellion
miike snow,silvia
weezer,burndt jamb
yungblud,loner
roger creager,i can too
john lennon,yesterday
glen campbell,"yesterday, when i was young"
queen,heaven for everyone
dinah washington,goodbye
earl klugh,whisper and promises
billy bi$hop,jungle deep
warren zevon,keep me in your heart
cherish,do it to it
steel pulse,black enough?
beenie man,art and life
the birthday party,cry
bill evans,i'm gettin' sentimental over you
dj cam quartet,saint germain
tesseract,of matter
hank williams,"hey, good lookin'"
tanya stephens,handle the ride
the sheepdogs,the one you belong to
corey smith,in love with a memory
grinderman,worm tamer
bob welch,mystery train
lee greenwood,the battle hymn of the republic
nightmares on wax,damn
phish,army of one
taj mahal,easy to love
lil' flip,game over
talking heads,stay up late
leona lewis,bleeding love
sam cooke,chain gang
jay & the americans,tomorrow
perry como,love letters
ajr,let the games begin
glen campbell,the straight life
huey lewis & the news,do you believe in love
alter bridge,blackbird
pussycat,mississippi
eric clapton,rollin' & tumblin'
etta jones,i love paris
papa roach,falling apart
jeezy,amazin'
jeezy,my hood
matisyahu,ayeka (teach me to love)
lil wayne,trippy
tricky,ponderosa
randy houser,anything goes
311,dodging raindrops
ozzy osbourne,goodbye to romance
josh turner,south carolina low country
queen,seven seas of rhye
judy garland,do it again
the fixx,secret separation
have a nice life,earthmover
black rebel motorcycle club,devil's waitin'
tito rojas,amor del bueno
no doubt,simple kind of life
isaac hayes,walk on by
bruce springsteen,darkness on the edge of town
frank zappa,sam with the showing scalp flat top
don gibson,lonesome number one
interpol,obstacle 2
the smiths,"frankly, mr. shankly"
the moody blues,it's up to you
the pharcyde,the e.n.d.
black flag,black coffee
johnny mercer,candy
george michael,somebody to love
john brown's body,play on
smif-n-wessun,let's get it on
the archies,"sugar, sugar"
elvis presley,happy ending
linda ronstadt,high sierra
godsmack,running blind
dolly parton,i remember
mack 10,w/s foe life
lefty frizzell,i love you mostly
foo fighters,rope
angel witch,angel witch
"royce da 5'9""",soldier (feat. kid vishis)
santana,everything's coming our way
buddy holly,true love ways
guns n' roses,live and let die
cake,"meanwhile, rick james..."
the byrds,bound to fall
bob wills,san antonio rose
the holdup,the drugs
billy walker,cattle call
deadsy,the key to gramercy park
ted nugent,death by misadventure
siouxsie and the banshees,icon
george strait,just look at me
ella fitzgerald,get out of town
stan getz,corcovado (quiet nights of quiet stars)
ac/dc,walk all over you
the martins,grace / grace greater than our sin
wiz khalifa,word hard play hard (remix)
george jones,making the rounds
peter white,just give me a chance
bryan ferry,let's stick together
charlie puth,attention
st germain,la goutte d'or
cross canadian ragweed,back around
john coltrane,om
roger miller,guv'ment
ricky nelson,sweeter than you
four tops,reach out i'll be there
tony bennett,are you havin' any fun?
charlie parr,cheap wine
ac/dc,up to my neck in you
giant,i'll see you in my dreams
g-eazy,remember you (feat. blackbear)
soen,fraccions
blues saraceno,dogs of war
arctic monkeys,why'd you only call me when you're high?
michael franti & spearhead,tolerance
bastille,oblivion
bruno mars,chunky
roxette,listen to your heart
cannonball adderley,willow weep for me
bettye swann,angel of the morning
connie francis,don't break the heart that loves you
ricky van shelton,after the lights go out
ella fitzgerald,sleigh ride
marian mcpartland,all in love is fair
yellowjackets,and you know that
"peter, paul and mary",going to the zoo
white denim,paint yourself
cliff richard,if you walked away
jane's addiction,sympathy for the devil
billie holiday,embraceable you
sarah vaughan,prelude to a kiss
sonny stitt,i got rhythm
quicksand,fazer
krokus,winning man
slayer,mandatory suicide
classics iv,traces
pinback,good to sea
tim mcgraw,illegal
the meters,down by the river
foreigner,break it up
barry manilow,bandstand boogie
mark o'connor,the devil comes back to georgia
l'entourloop,delight for old chicken
miles davis quartet,four
hank locklin,this song is just for you
johnny cash,the last gunfighter ballad
beat happening,indian summer
grinderman,get it on
spirit,i got a line on you
michael jackson,speed demon (remix by nero)
k.t. oslin,lonely but only for you
wynonna,live with jesus
little river band,we two
bobby freeman,do you wanna dance
the jam,life from a window
elvis presley,fever
mumford & sons,awake my soul
beach house,lemon glow
vern gosdin,two lonely hearts (out of hand)
justin timberlake,sexyback (feat. timbaland)
ella fitzgerald,begin the beguine
hata proof records presents mr nava,hip hop esta vivo
nat king cole,stay as sweet as you are
deep purple,child in time
the j.b.'s,pass the peas
bing crosby,i wish you a merry christmas
pink floyd,wearing the inside out
lefty frizzell,"signed, sealed and delivered"
the primitives,crash
the youngbloods,the other side of this life
grace potter & the nocturnals,paris (ooh la la)
yellowcard,miles apart
hank thompson,how do you feel?
kid ink,show me (feat. chris brown)
thank you scientist,blood on the radio
willie nelson,somebody pick up my pieces
chicago,hard habit to break
pete rock & c.l. smooth,soul brother #1
foghat,"slipped, tripped, fell in love"
fabolous,trade it all (feat. jagged edge)
johnny thunders,dead or alive
mumford & sons,i will wait
the rolling stones,sweet black angel
john mclaughlin,miles out
blockhead,jet son
kelly clarkson,a moment like this
get scared,sarcasm
g. love & special sauce,making amends
arctic monkeys,who the fuck are arctic monkeys?
creation rebel,liberation
funkadelic,maggot brain
louis armstrong,zip-a-dee-doo-dah
willie nelson,i've just destroyed the world
the who,"a quick one, while he's away"
black joe lewis & the honeybears,black snake
keyshia cole,i changed my mind
korn,my gift to you
herbie hancock,saturday night
tab benoit,too sweet for me
the rolling stones,look what you've done
paul simon,homeward bound
shankar,all for you
alice coltrane,a love supreme
connie smith,there goes my everything
the itals,material gain
doris day,darn that dream
ohio players,jive turkey
the killers,the way it was
live,the beauty of gray
crime mob,put yo hands up
the beach boys,the man with all the toys
vybz kartel,pure love mi give gal
jj grey & mofro,higher you climb
will.i.am,i like to move it
john anderson,i wish i could write you a song
chris stapleton,the ballad of the lonesome cowboy
the movement,blinded
children of zeus,smoke with me
mickey gilley,you've really got a hold on me
maroon 5,never gonna leave this bed
connie francis,my happiness
jamey johnson,high cost of living
melanie martinez,teddy bear
forever the sickest kids,bipolar baby!
wilson meadows,that's still my love
for king & country,priceless
dierks bentley,fallin' for you
young the giant,i got
joe cocker,space captain
johnny cash,my treasure
little anthony & the imperials,never again
gordon lightfoot,i'll tag along
alton ellis,it's true
jack greene,statue of a fool
jungle brothers,sounds of the safari
fall out boy,w.a.m.s.
ratt,loving you is a dirty job
andy williams,remember
galantis,no money
john anderson,1959
reba mcentire,everytime you touch her
papa san,gals love money man
"hank williams, jr.",new orleans
ella fitzgerald,"top hat, white tie, and tails"
the beatles,the night before
max stalling,the pila song
k camp,comfortable
beck,gamma ray
t.g. sheppard,devil in the bottle
guided by voices,a salty salute
the beatles,tomorrow never knows
ronnie dunn,bleed red
nine inch nails,reptile
r.e.m.,welcome to the occupation
schoolboy q,studio
social distortion,all the answers
aaron tippin,i was born with a broken heart
"blood, sweat & tears",you've made me so very happy
social distortion,lost child
donna summer,walk away
judas priest,the ripper
the beach boys,don't talk (put your head on my shoulder)
nat king cole,serenata
aaron tippin,i got it honest
james mcmurtry,where'd you hide the body
lobo,universal soldier
marlena shaw,liberation conversation
donell jones,knocks me off my feet
the miracles,broken hearted
leroy smart,i don't like it
bob marley & the wailers,ambush in the night
mudvayne,nothing to gein
bing crosby,winter wonderland
red,faceless
devin townsend,hide nowhere
megadeth,addicted to chaos
"earth, wind & fire",sparkle
alan jackson,must've had a ball
metallica,turn the page
hot chip,the warning
toadies,away
sara bareilles,between the lines
fuel,hemorrhage (in my hands)
bob dylan,gotta travel on
sinéad o'connor,don't cry for me argentina
sick puppies,you're going down
big maybelle,96 tears
buddy holly,love me
laura fygi,dream a little dream
the marshall tucker band,low down ways
don gibson,where no one stands alone
bob marley & the wailers,buffalo soldier
ronnie hawkins,my gal is red hot
kenny chesney,guitars and tiki bars
craig campbell,outta my head
nancy sinatra,run for your life
the black angels,indigo meadow
fatback band,please stay
don cherry,malkauns
ziggy marley,fly rasta
john schneider,at the sound of the tone
seether,walk away from the sun
bts,mic drop (steve aoki remix) [full length edition]
nickelback,i'd come for you
dashboard confessional,the places you have come to fear the most
"blood, sweat & tears",somethin' goin' on
earl thomas conley,honor bound
shirley horn,a time for love
little richard,a whole lotta shakin' goin' on
tammy wynette,i believe
ronnie milsap,we're here to love
foo fighters,weenie beenie
the cranberries,everything i said
john lennon,god
bodyjar,not the same
grand funk railroad,we're an american band
robert earl keen,sing one for sister
thee oh sees,carrion crawler
boyz ii men,thank you
granger smith,holler
joe walsh,wolf
digable planets,jimmi diggin' cats
paula abdul,state of attraction
special ed,neva go back
peter bjorn and john,young folks
roxette,fading like a flower (every time you leave)
ricky skaggs,i wonder if i care as much
the derek trucks band,all i do
the paper kites,featherstone
misfits,she
mary chapin carpenter,passionate kisses
juice newton,twenty years ago
john anderson,straight tequila night
boz scaggs,still falling for you
metallica,master of puppets
oingo boingo,wake up (it's 1984)
mark knopfler,golden heart
faith no more,midlife crisis
panic! at the disco,death of a bachelor
eddie cochran,sittin' in the balcony
puscifer,the remedy
nickelback,edge of a revolution
elvis presley,blue suede shoes
tesla,changes
ballyhoo!,jameson & ginger
the raconteurs,many shades of black
the beatles,all you need is love
bulletboys,for the love of money
herb ellis,workin' with the truth
chinese man,the journey
ronny jordan,floor & more
michael franks,on my way home to you
black uhuru,brutal
bob dylan,tonight i'll be staying here with you
charley pride,cotton fields
hanni el khatib,you rascal you
billy joe shaver,black rose
korn,y'all want a single
three days grace,bitter taste
hank williams,crazy heart
engelbert humperdinck,winter world of love
ben folds five,song for the dumped
foo fighters,learn to fly
buddy guy,somebody's sleeping in my bed
dio,straight through the heart
nat king cole,somewhere along the way
lee greenwood,i.o.u.
diego roots,good times
the foundations,any old time (you're lonely and sad)
dennis wilson,moonshine
mickey gilley,that's all that matters
prince buster,just you
tasmin archer,sleeping satellite
hammerfall,hearts on fire
rush,2112 overture / the temples of syrinx
dave matthews,stay or leave
johnny burnette,cincinnati fireball
metallica,cure
the melodians,"hey, girl"
cemetery sun,fake love
alan jackson,everything i love
jerry jeff walker,gringo in belize
dwight yoakam,it only hurts when i cry
tears for fears,break it down again
traveling wilburys,where were you last night?
carmen mcrae,how long has this been going on
lmfao,shots
boz scaggs,love me tomorrow
the church,metropolis
sepultura,desperate cry
boyzone,love me for a reason
chris janson,waitin' on 5
leon bridges,so long
blues traveler,whoops
johnny cash,the old account
ozzy osbourne,now you see it (now you don't)
chuck berry,downbound train
delbert mcclinton,got you on my mind
deftones,be quiet and drive (far away)
lyle lovett,all my love is gone
jason gray,good to be alive
meshuggah,concatenation
the kinks,living on a thin line
the kingston trio,blow ye winds
the dear hunter,"never forgive, never forget"
stan getz,thanks for the memory
pinchers,mass out
sinne eeg,hours of ours
emmylou harris,together again
the mighty mighty bosstones,the rascal king
busta rhymes,new york shit
willie nelson,lonely little mansion
the harptones,life is but a dream
randy travis,diggin' up bones
swv,when u cry
jimi hendrix,once i had a woman
graham nash,i used to be a king
shinedown,save me
dan fogelberg,leader of the band
seth gueko,qui a dit que le rap était dead ?
r.e.m.,half a world away
graham nash,you'll never be the same
dierks bentley,the heaven i'm headed to
scott walker,boy child
duran duran,save a prayer
bumpin uglies,budtender
wilco,i must be high
john anderson,shoot low sheriff!
don gibson,take me as i am
carrie underwood,thank god for hometowns
electric light orchestra,mister kingdom
babyface,when can i see you
gorilla zoe,i'm dumb
"albert hammond, jr.",well...all right
sweet,the lies in your eyes
jim reeves,roses are red (my love)
eva cassidy,danny boy
etana,richest girl
green day,coming clean
katy perry,wide awake
83,leçon 3
america,woman tonight
nazareth,shot me down
reo speedwagon,in your letter
van morrison,the way young lovers do
flower travellin' band,satori part ii
nat king cole,thanks to you
harry belafonte,land of the sea and sun
free,lying in the sunshine
mudvayne,not falling
natalie cole,i love him so much
johnny clarke,i man come again
peter green,one woman love
pepper,start you up
porter wagoner,put it off until tomorrow
swv,weak
surfaces,heaven falls / fall on me
dan fogelberg,once upon a time
the babys,a piece of the action
"earth, wind & fire",wanna be with you
wheeland brothers,california kids
boney james,breathe
brad paisley,part two
lone justice,shelter
juice newton,dirty looks
shrub,herbivore
louis armstrong,your cheatin' heart
john coltrane,i'll wait and pray
leon redbone,your cheatin' heart
cardi b,thru your phone
tommy guerrero,soul miner
misfits,skulls
lonnie mack,oreo cookie blues
massacre,cryptic realms
sister fa,hip hop rek
maze,change on our ways
sia,bird set free
sashamon,merry
leon redbone,mississippi delta blues
koop,let's elope
llorca,indigo blues
the mamas & the papas,dancing in the street
danzig,end of time
meshuggah,beneath
dean martin,if
big daddy kane,"here comes kane, scoob and scrap"
kirk whalum,falling in love with jesus
slim whitman,indian love call
conway twitty,"louisiana woman, mississippi man"
welshly arms,love of the game
nicola conte,like leaves in the wind
whiskey myers,reckoning
ziggy marley & the melody makers,x marks the spot
lighter shade of brown,intro
everlast,black jesus
the velvet underground,i found a reason
yung joc,it's goin' down (feat. nitti)
*nsync,pop
black rebel motorcycle club,gospel song
wire,brazil
tenacious d,rock your socks
the beatles,the continuing story of bungalow bill
j.j. cale,love has been gone
david bowie,soul love
mac miller,another night
patti drew,fever
dean martin,beside you
mötley crüe,in the beginning
supaman,shut em down
ac/dc,night of the long knives
the righteous brothers,just once in my life
gene autry,home on the range
demi lovato,fix a heart
connie francis,i'm gonna be warm this winter
scorpions,walking on the edge
elvis costello & the attractions,you'll never be a man
oingo boingo,sweat
mötley crüe,"knock 'em dead, kid"
pearl jam,not for you
buck owens,together again
311,don't tread on me
samantha fish,highway's holding me now
the black angels,half believing
frankie valli,walk away renee
mavado,money changer
porter wagoner,if i could only start over
the fall,an older lover etc.
gene vincent & his blue caps,"jumps, giggles and shouts"
maxi priest,best of me
dean martin,"love me, my love"
horace silver,soul searchin'
johnny hates jazz,don't say it's love
kate bush,jig of life
creed,what if
genesis,"tonight, tonight, tonight"
blossom dearie,it amazes me
dennis brown,no man is an island
billie holiday,i can't face the music
willie nelson,forgiving you was easy
sandra,everlasting love
aceyalone,future rockers
ace hood,king of the streets
the national,fake empire
john anderson,i wish i could have been there
kenny chesney,happy on the hey now (a song for kristi)
the queers,fuck the world
yes,perpetual change
the kingston trio,the unfortunate miss bailey
ruth brown,so long
the sound,missiles
alessia cara,here
ajr,i'm not famous
alan jackson,he lives
the holdup,pretend
lincoln durham,how does a crow fly
peter tosh,stand firm
ray price,don't you believe her
neil young,down by the river
megadeth,99 ways to die
ohio players,let's do it
don williams,we should be together
atlanta rhythm section,i'm not gonna let it bother me tonight
audioslave,revelations
u2,so cruel
muddy waters,long distance call
stanley clarke,power
the rolling stones,slipping away
the beatles,i call your name
thin lizzy,the pressure will blow
george benson,"here, there and everywhere"
miike snow,my trigger
talk talk,living in another world
america,sometimes lovers
blue öyster cult,debbie denise
the zombies,you've really got a hold on me
aerosmith,amazing
queen,nevermore
robbie williams,feel
nina simone,something to live for
blossom dearie,wait till you see him
the national,graceless
pavement,the killing moon
alice in chains,dirt
dierks bentley,in my head
blackbear,1 sided love
the impressions,as long as you love me
everything but the girl,downtown train
j.j. cale,three little girls
phish,water in the sky
the white stripes,the nurse
billie holiday,ill wind
jason aldean,why
resinated,paradise
peggy lee,sweet happy life
"dave dee, dozy, beaky, mick & tich",hold tight!
mighty diamonds,up front
steve miller band,seasons
megadeth,this was my life
southern avenue,keep on
38 special,twentieth century fox
fortunate youth,reggae radio
johnny cash,spiritual
bob dylan,only a pawn in their game
kacey musgraves,good ol' boys club
jamiroquai,virtual insanity
the platters,take me in your arms
hank williams,honky tonk blues
elton john,funeral for a friend / love lies bleeding
sizzla,greedy joe
the black crowes,no speak no slave
beck,mixed bizness
chicago,call on me
the clash,hate & war
sun ra,space fling
kenny rogers,sweet music man
justice system,trouble on my mind
voxtrot,the start of something
vybz kartel,in stock
mat kearney,air i breathe
vern gosdin,dead from the heart on down
muse,thoughts of a dying atheist
the oak ridge boys,it takes a little rain (to make love grow)
three dog night,an old fashioned love song
public image ltd.,seattle
311,paradise
johnny thunders,eve of destruction
restless heart,tell me what you dream
project pat,if you ain't from my hood (feat. dj paul & juicy j)
dj drama,the art of storytellin part 4 (feat. outkast & marsha ambrosius)
mkto,thank you
k.d. lang,"lock, stock and teardrops"
rise against,behind closed doors
japan,gentlemen take polaroids
masicka,10 outa 10
larkin poe,crown of fire
george hamilton iv,the everglades
bill evans,oleo
steely dan,charlie freak
10cc,the wall street shuffle
luke bryan,most people are good
ray lamontagne,three more days
corleone,i made it
sun ra,new day
the smashing pumpkins,tristessa
anita baker,same ole love (365 days a week)
dan fogelberg,phoenix
joe sample,melodies of love
suicidal tendencies,war inside my head
tedeschi trucks band,don’t drift away
king crimson,cirkus (including entry of the chameleons)
keith richards,999
tony bennett,we'll be together again
the feelies,forces at work
